id,Model Predictions,Model Targets,Actual Targets,Classified Targets
0512c12234,0.96508336,1,1,1
0512c43788,0.95668286,1,1,1
0512f94477,0.4818788,0,1,0
051303dc5a,0.38892204,0,0,1
051351f27f,0.46248007,0,1,0
0513678d6c,0.7349831,1,1,1
05136fbb2a,0.9865204,1,1,1
0513b1af7b,0.62674403,0,0,1
0513d9c254,0.545113,0,0,1
0513e7624c,0.99999976,1,1,1
0513f82ee0,0.99999374,1,1,1
051431682c,0.8692676,1,0,0
05145ef420,0.6715126,1,1,1
0514860336,0.24542615,0,0,1
0514916b79,0.6111592,0,0,1
05149d5fd8,0.57064086,0,0,1
0514a4ba54,0.40560505,0,0,1
0514ae48bd,0.40714633,0,0,1
0514b54778,1.0,1,1,1
0514bea437,0.9924629,1,1,1
0514e0db31,0.9490849,1,1,1
0514e5282c,0.5344697,0,1,0
0514f6c25e,0.5625634,0,0,1
0515829acd,0.36045808,0,0,1
0516060e05,0.9999734,1,1,1
05160dc88b,0.5081315,0,0,1
051629bcd4,0.83761346,1,1,1
051631894d,0.566229,0,1,0
05164ad0ab,0.747154,1,1,1
0516767207,0.74830544,1,1,1
0516842a58,0.3847894,0,0,1
0516b20f19,0.39620298,0,0,1
0516cd1344,0.37951833,0,0,1
051721f189,0.99999404,1,1,1
0517554b35,0.29029214,0,0,1
05176365b8,0.8593868,1,1,1
0517a70d1d,0.9999894,1,1,1
0517b5d498,0.37465912,0,0,1
0517e294d8,0.6318306,0,1,0
0517f4c566,0.99999976,1,1,1
051819aafa,0.38060755,0,0,1
05181a59c0,0.44102883,0,0,1
05182a48a8,0.999998,1,1,1
05182fcede,0.1799022,0,0,1
0518365ee1,0.42893034,0,0,1
0518421fdd,0.8610925,1,1,1
051849fbb8,0.5307628,0,0,1
05184aaf1a,0.89347816,1,1,1
05184bce6e,0.29887283,0,0,1
05184e01e1,0.3710118,0,0,1
0518945efc,0.54479384,0,0,1
05189fc605,0.9969981,1,1,1
0518b1513f,0.39198056,0,0,1
0518e7b1d6,0.84327203,1,1,1
05190cdb99,0.37955588,0,0,1
05192b1f6e,0.6381689,0,1,0
05193e1308,0.8699571,1,1,1
05194658a6,0.6320871,0,0,1
051984263c,0.27303782,0,0,1
0519bd6642,0.3198155,0,0,1
0519d57061,0.6953784,1,0,0
0519dca70b,0.35419106,0,0,1
051a6b8ad1,0.99491954,1,1,1
051a8520d5,0.35566425,0,0,1
051a930532,0.5387311,0,1,0
051aa0097c,0.9954015,1,1,1
051aaef0a4,0.29355586,0,0,1
051ad2b08e,0.38222423,0,0,1
051ad84018,0.4851778,0,0,1
051b130aab,0.47177058,0,1,0
051b35d456,0.53914464,0,0,1
051b3bd5da,0.17969236,0,0,1
051b61a9b6,0.9979358,1,1,1
051b7e8124,0.65851647,1,0,0
051bab2693,0.50089645,0,0,1
051be2376c,0.32224512,0,0,1
051be2cdec,0.3792578,0,0,1
051be7efd9,0.5938562,0,0,1
051befbe52,0.8738261,1,1,1
051c0daf0d,0.9998322,1,1,1
051c14cc7c,0.39423126,0,0,1
051c1fca73,0.21979836,0,0,1
051c431748,0.28955793,0,0,1
051c45ee20,0.9998516,1,1,1
051c4b5a56,0.62396157,0,1,0
051c7ecd2c,0.99972874,1,1,1
051c91bade,0.89835054,1,1,1
051c999cad,0.72183007,1,1,1
051c9b1b0f,0.82119036,1,0,0
051cbdd3dd,0.6648356,1,1,1
051ce426da,0.56440693,0,1,0
051cf4e915,0.57961243,0,0,1
051d054834,0.95818794,1,0,0
051d244f40,0.24827254,0,0,1
051d274f14,0.5262869,0,0,1
051d824bdd,0.5419053,0,1,0
051da24b57,0.91751105,1,1,1
051da79fa8,0.3044032,0,1,0
051daa8aa8,0.9999976,1,1,1
051db0d3b9,0.43363187,0,0,1
051dc65997,0.99999785,1,1,1
051dca0a98,0.36957237,0,1,0
051df3ea3e,0.8914074,1,1,1
051e40a672,0.71231717,1,0,0
051e473152,0.5956487,0,1,0
051e67db4f,0.70938283,1,1,1
051e6c2379,0.6724185,1,0,0
051e82d429,0.36777177,0,0,1
051e90cf4d,0.53753984,0,0,1
051e95579e,0.62900037,0,1,0
051ebf7eab,0.3400632,0,0,1
051ecd6c87,0.71492815,1,0,0
051ee95343,0.73274255,1,0,0
051f6a5e1f,0.9938503,1,1,1
051f98b4c8,0.73757243,1,0,0
051fc8ea05,0.9990616,1,1,1
051fcc18de,0.83409655,1,1,1
051fd2b38a,0.70220447,1,1,1
051fd4fabe,0.44722867,0,1,0
05201e36b8,0.99910724,1,1,1
05203ea08d,0.9999947,1,1,1
05206725ec,0.6400594,0,0,1
05207a798d,0.5326132,0,0,1
0520879d33,0.5728593,0,0,1
0520a23d90,0.5884228,0,1,0
052119584a,0.5789178,0,1,0
05212a87d2,0.37068748,0,0,1
05215cf286,0.6290293,0,0,1
0521b8e8ff,0.9860046,1,1,1
0521cbb945,0.98851097,1,1,1
0521d1b97a,0.526919,0,1,0
052204d585,0.43071225,0,0,1
05221ddab8,0.8341613,1,1,1
05229885d5,0.77303123,1,0,0
0522b8e992,0.99519897,1,1,1
0522be40b7,0.6049322,0,0,1
0522be9a6f,0.66946334,1,1,1
0523144f86,0.7852595,1,0,0
05233f5199,0.96385527,1,1,1
052345042b,0.5706704,0,1,0
05234d7774,0.3845072,0,0,1
052351dc85,0.38067988,0,0,1
05237503cb,0.62746346,0,0,1
052384a931,0.7427472,1,1,1
05238ea1be,1.0,1,1,1
05239cc968,0.36970252,0,0,1
0523beba03,0.8339617,1,1,1
0523c690f4,0.60464364,0,0,1
0523f505b1,0.56439835,0,1,0
0524038c24,0.39313865,0,1,0
05240c53ef,0.59012365,0,0,1
05241c2355,0.84580445,1,1,1
05241dc3e1,0.6015276,0,0,1
052465308c,0.318101,0,0,1
05246bc347,0.7424685,1,0,0
05249b234c,0.38224813,0,0,1
0524aa774a,0.90862215,1,1,1
05251f7dbc,0.684953,1,1,1
052542409a,0.42232922,0,1,0
0525766d8c,0.72963285,1,0,0
05258729b8,0.99917245,1,1,1
05258a35ec,0.95376456,1,1,1
05258a3c58,0.28431934,0,0,1
0525d0a66c,0.5081136,0,0,1
0525d0fca2,0.99994874,1,1,1
052600edb5,0.96885633,1,1,1
05260b41f9,0.6722014,1,1,1
052624689c,0.4568073,0,1,0
05262908dc,0.57078934,0,0,1
05263f90c5,0.53967667,0,0,1
052641a17c,0.78793645,1,0,0
052669d91e,0.97553813,1,1,1
0526bc1f29,0.7061484,1,0,0
0526c2425f,0.7027991,1,1,1
0527086d59,0.5355139,0,0,1
05272ec8ba,0.7939973,1,1,1
05274f63f1,0.5300358,0,1,0
0527718d2a,0.99959624,1,1,1
052804a6cb,0.68820006,1,0,0
05280c818f,0.74604845,1,1,1
052814c315,0.6737895,1,0,0
05281f07ec,0.97198546,1,1,1
052843ee04,0.9969884,1,1,1
0528832157,0.9767616,1,1,1
0528b55af1,0.59875304,0,0,1
0528cadede,0.39758363,0,0,1
0528efe217,0.79059815,1,1,1
05290ceb44,0.7165603,1,0,0
052918cdc4,0.52860546,0,1,0
0529238247,0.9999994,1,1,1
05293969aa,0.4134865,0,0,1
05293f3c44,0.5621968,0,1,0
05295935f7,0.9998051,1,1,1
0529638651,0.7773241,1,0,0
05297ed318,0.3105114,0,0,1
05298311a1,0.6296458,0,0,1
05298c45bb,0.97177637,1,1,1
0529a55e26,0.9999681,1,1,1
0529cd0905,0.36261666,0,0,1
052a1613e9,0.52376145,0,0,1
052a2439e3,0.6348672,0,1,0
052a2f0f77,0.5619488,0,0,1
052a5e4030,0.67517364,1,1,1
052a7f70be,0.60040015,0,0,1
052a95ebbf,0.5550658,0,0,1
052ab57868,0.9279885,1,1,1
052ab8a2f2,0.70676655,1,1,1
052aee3224,0.75102746,1,1,1
052af9c58a,0.781252,1,0,0
052b0968b0,0.6092165,0,1,0
052b1f9edb,0.39230385,0,0,1
052b278f6a,0.8872057,1,1,1
052b3deddd,0.73408175,1,0,0
052b68a7dc,0.9999119,1,1,1
052bb08462,0.79033136,1,1,1
052bbb261a,0.9982352,1,1,1
052bed7cd0,0.52499366,0,0,1
052c069d90,0.61992615,0,1,0
052c2c24e2,0.43783113,0,0,1
052c2fed27,0.6908226,1,1,1
052c379b3c,0.32028767,0,1,0
052c687892,0.3706236,0,0,1
052ca577fb,0.9360115,1,1,1
052cc382b2,0.55937684,0,0,1
052cd61162,0.37759906,0,0,1
052cdd3534,0.80547273,1,0,0
052cdecb73,0.28465903,0,0,1
052cf71803,0.62600756,0,1,0
052cfe15ae,0.3322603,0,1,0
052d28d368,0.5432744,0,0,1
052d2ff044,0.3721987,0,0,1
052d56da6c,0.828677,1,0,0
052d5801dc,0.4079892,0,0,1
052d74bd8d,0.6308003,0,0,1
052dc4965f,0.99960566,1,1,1
052de98877,0.63060474,0,0,1
052e01e3b0,0.9844316,1,1,1
052e099cbd,0.86307573,1,1,1
052e358f38,0.686434,1,0,0
052e4025c9,0.69297856,1,1,1
052e829ccd,0.32673833,0,1,0
052e8f4ab7,0.34466082,0,0,1
052ea1f63c,0.95188904,1,1,1
052f1c0034,0.34875387,0,1,0
052f3b9f72,0.50180864,0,1,0
052f55e112,0.98962784,1,1,1
