id,Max SNRs,Match Targets,Actual Targets,Classified Targets
00000e74ad,14.805149536856318,0,1,0
00001f4945,13.9429479081231,0,0,1
0000661522,15.431542502457608,1,0,0
00007a006a,14.049405175294671,0,0,1
0000a38978,14.43376155849532,0,1,0
0000bb9f3e,17.57950156760946,1,1,1
0000c3b9c9,14.231677612792453,0,0,1
0000d61b7b,22.402453555536155,1,1,1
0001016d12,13.347407820918104,0,1,0
00010beb4a,14.399478095587682,0,1,0
000118b40d,14.701576777134193,0,0,1
0001388506,15.25280989753538,1,1,1
00014b7a9d,15.334823746374212,1,1,1
0001616241,14.674563816163433,0,0,1
00017d3cf3,47.248666503705984,1,1,1
0001808ecc,14.498624877883588,0,1,0
0001bfda2f,14.374016466853636,0,0,1
0001c76f56,14.307850380200724,0,1,0
0002014fd3,13.92187173920194,0,0,1
0002402e11,14.025324405530691,0,0,1
000243542d,13.75610356032507,0,0,1
00025c4117,14.049767188797048,0,0,1
00026119ef,14.402773059926927,0,1,0
00026ce3c5,14.213232634491618,0,0,1
000270b7cc,15.123036378568932,1,1,1
0002729283,13.51687962008647,0,0,1
0002738423,13.695578913389234,0,0,1
000288e4a5,20.55369103216412,1,1,1
000295765e,13.665068824062711,0,0,1
0002b64784,13.627754909590807,0,1,0
0002b66647,14.99722773164139,0,0,1
0002b883f5,13.507929829226494,0,0,1
0002c1fef3,14.3380911635448,0,0,1
0002cc5125,17.257505444405666,1,1,1
0002d0e9a5,14.071629107479277,0,1,0
00031da6a7,14.494580807447376,0,1,0
0003496c10,13.711609029453484,0,0,1
00034d8429,13.550573136299334,0,0,1
000367454d,14.57594716828094,0,1,0
00036ba567,13.773011223643476,0,0,1
000376cd4c,17.377395938351242,1,1,1
0003920ef5,17.36763305579621,1,1,1
0003a9d0b0,12.96902375861358,0,0,1
0003b77c3e,14.55653301848274,0,1,0
0003c0dea5,16.305941938693614,1,1,1
0003d34cd0,14.162761757911891,0,0,1
0003fc4eb4,19.035791285755977,1,1,1
000415f88a,14.290368115249832,0,0,1
00044e738f,12.795782934872031,0,0,1
00046aeb49,21.984391639650926,1,1,1
0004836462,13.922920413189916,0,1,0
0004a85055,13.615224175136056,0,1,0
00053e25a0,14.262238647034728,0,0,1
0005476da0,14.185711864804476,0,0,1
00054902ca,19.45826638887068,1,1,1
00054fb5ed,13.960379076672917,0,1,0
00054fd779,15.77200326285661,1,1,1
0005c1c3fd,23.796877358152507,1,1,1
0006166539,17.69149925118584,1,1,1
00061fc157,14.341590397403422,0,0,1
0006684722,27.159786396116324,1,1,1
000698406f,13.536183881893994,0,0,1
000727a039,14.042119897313102,0,1,0
00076d377c,47.175691703798456,1,1,1
000772535f,15.28213592032711,1,0,0
0007bc2873,17.345184291842884,1,1,1
0007dd8fa3,14.42810446959777,0,0,1
