id,Max SNRs,Match Targets,Actual Targets,Classified Targets
00000e74ad,14.805149536856336,0,1,0
00001f4945,13.942947908123102,0,0,1
0000661522,15.431542502457614,1,0,0
00007a006a,14.04940517529467,0,0,1
0000a38978,14.433761558495316,0,1,0
0000bb9f3e,17.57950156760948,1,1,1
0000c3b9c9,14.23167761279245,0,0,1
0000d61b7b,22.402453555536177,1,1,1
0001016d12,13.347407820918136,0,1,0
00010beb4a,14.399478095587682,0,1,0
000118b40d,14.701576777134193,0,0,1
0001388506,15.252809897535382,1,1,1
00014b7a9d,15.334823746374216,1,1,1
0001616241,14.674563816163436,0,0,1
00017d3cf3,47.24866650370597,1,1,1
0001808ecc,14.498624877883584,0,1,0
0001bfda2f,14.374016466853638,0,0,1
0001c76f56,14.307850380200716,0,1,0
0002014fd3,13.92187173920194,0,0,1
0002402e11,14.02532440553069,0,0,1
000243542d,13.75610356032504,0,0,1
00025c4117,14.049767188797048,0,0,1
00026119ef,14.402773059926924,0,1,0
00026ce3c5,14.21323263449162,0,0,1
000270b7cc,15.123036378568935,1,1,1
0002729283,13.516879620086474,0,0,1
0002738423,13.695578913389236,0,0,1
000288e4a5,20.553691032164117,1,1,1
000295765e,13.665068824062711,0,0,1
0002b64784,13.627754909590768,0,1,0
0002b66647,14.997227731641388,0,0,1
0002b883f5,13.507929829226503,0,0,1
0002c1fef3,14.3380911635448,0,0,1
0002cc5125,17.25750544440566,1,1,1
0002d0e9a5,14.07162910747928,0,1,0
00031da6a7,14.49458080744738,0,1,0
0003496c10,13.71160902945347,0,0,1
00034d8429,13.550573136299338,0,0,1
000367454d,14.575947168280932,0,1,0
00036ba567,13.77301122364348,0,0,1
000376cd4c,17.37739593835123,1,1,1
0003920ef5,17.36763305579621,1,1,1
0003a9d0b0,12.969023758613584,0,0,1
0003b77c3e,14.556533018482735,0,1,0
0003c0dea5,16.305941938693607,1,1,1
0003d34cd0,14.16276175791189,0,0,1
0003fc4eb4,19.035791285755973,1,1,1
000415f88a,14.29036811524983,0,0,1
00044e738f,12.79578293487204,0,0,1
00046aeb49,21.984391639650926,1,1,1
0004836462,13.922920413189924,0,1,0
0004a85055,13.615224175136031,0,1,0
00053e25a0,14.262238647034714,0,0,1
0005476da0,14.185711864804446,0,0,1
00054902ca,19.458266388870666,1,1,1
00054fb5ed,13.960379076672917,0,1,0
00054fd779,15.772003262856607,1,1,1
0005c1c3fd,23.796877358152503,1,1,1
0006166539,17.69149925118584,1,1,1
00061fc157,14.34159039740348,0,0,1
0006684722,27.159786396116317,1,1,1
000698406f,13.536183881894026,0,0,1
000727a039,14.042119897313103,0,1,0
00076d377c,47.17569170379846,1,1,1
000772535f,15.28213592032711,1,0,0
0007bc2873,17.34518429184288,1,1,1
0007dd8fa3,14.42810446959777,0,0,1
000806e898,15.145288964283656,1,0,0
0008258672,15.96831715242423,1,1,1
000859c936,14.00928321847796,0,0,1
000877a47c,15.32866512064266,1,0,0
0008983698,15.783238576664022,1,1,1
00089e1821,39.59661539269165,1,1,1
0008c2f476,14.3403904883244,0,0,1
0008cf208f,14.67526340853114,0,0,1
0008dd7867,15.82004341918536,1,0,0
00090121cf,13.521048952581316,0,0,1
00090c52ce,23.288617211813964,1,1,1
00091a8762,14.169413354561232,0,0,1
000935c367,15.088888483136303,1,0,0
00093b5c49,14.3624228735483,0,0,1
00094e51b0,14.507134255047776,0,0,1
00096eb5cd,13.795216170595282,0,0,1
000998b399,13.696061019042268,0,0,1
00099c3cb0,14.57255875353712,0,0,1
0009b0f2b6,15.12930109135088,1,0,0
0009b55d87,13.83584816247934,0,1,0
0009c48c31,13.92726106505733,0,0,1
0009cf257a,14.002699904972232,0,1,0
0009d40573,22.669207035654495,1,1,1
0009d4cdeb,13.89311481882178,0,1,0
0009e8c71e,15.694187942548188,1,1,1
000a1122c0,14.009696480073316,0,0,1
000a1f352b,15.621120919956205,1,1,1
000a218fdd,25.52194134171766,1,1,1
000a3072ab,15.01202722726931,1,0,0
000a32736f,22.15720412501527,1,1,1
000a5527d6,20.30488205804264,1,1,1
000a5b6e5c,36.11112966228348,1,1,1
000a5b744e,16.78644042363576,1,1,1
000a852fee,15.140201597244133,1,0,0
000a8caf72,14.864162378120158,0,0,1
000aa31ba5,41.02061513051745,1,1,1
000ab7f146,15.867573996998512,1,1,1
000b077d34,14.877494455238446,0,0,1
000b9f270d,25.855697354448623,1,1,1
000ba9ebe8,14.475788942624622,0,0,1
000bbeb157,21.29375932403636,1,1,1
000bcd1c97,13.228881137688028,0,0,1
000bcf8bf9,14.692930973162904,0,1,0
000be7de2d,14.113156188506403,0,0,1
000bf33edd,18.418180660502056,1,1,1
000bf685d6,15.995269519056324,1,1,1
000c3049e8,15.179197274571363,1,0,0
000c3f2d3e,20.213484043557436,1,1,1
000c41d34a,32.938922454238785,1,1,1
000c5a3b83,24.55401367075012,1,1,1
000c617dd1,14.216099648753012,0,0,1
000c6477c2,18.97537355860761,1,1,1
000c67c73a,26.78907806737204,1,1,1
000c852f37,13.836519014306392,0,0,1
000c890412,15.153523730818703,1,0,0
000c9feb63,13.881773804427668,0,0,1
000ca21306,13.839832548805886,0,0,1
000ca41c06,14.611777310127854,0,0,1
000cb60cec,14.5108084760813,0,0,1
000cbae488,13.680745232661977,0,0,1
000db11b84,15.29035138430082,1,0,0
000e2302f0,15.05810994335001,1,1,1
000e259eb1,14.177838039177171,0,1,0
000e2e4fa6,20.5163951698705,1,1,1
000e3b933f,13.620453138367012,0,0,1
000e4a26c6,20.434703382467028,1,1,1
000e579c6a,14.730679235894732,0,0,1
000e94ed5f,14.745968991967978,0,0,1
000ea3f58c,14.064924983595128,0,0,1
000eb55203,14.295745842331858,0,0,1
000ec35dda,14.01343908264566,0,0,1
000edf24c2,13.298823432063092,0,0,1
000eee8e26,15.37814248071662,1,0,0
000ef07f12,14.631940999474487,0,1,0
000ef744bf,13.549471752327944,0,0,1
000efdb49c,13.425402633079576,0,0,1
000efe500e,14.019206359756591,0,0,1
000f16d34d,15.660870816777756,1,1,1
000f1976b6,17.381427991006184,1,1,1
000f3732de,14.945660338971049,0,1,0
000f3ec278,13.781509398363344,0,0,1
000f4ffd29,13.625244176246714,0,0,1
000f844d01,15.15613222612959,1,1,1
000f89d73e,14.383876249096598,0,0,1
000f8f0e9b,13.812159702194307,0,1,0
000fb5d0bf,41.89238592358521,1,1,1
000fd2a682,14.517042175127072,0,1,0
000fe0c0ef,14.27017664474967,0,0,1
001004180a,14.755606945159464,0,0,1
00107dff56,14.179378405953802,0,0,1
0010838bae,18.226977209232388,1,1,1
0010c291b3,14.40139074826208,0,0,1
0010e0d62a,14.169112675189467,0,1,0
00111f9a51,16.094027421611518,1,1,1
001171484c,29.16204077842566,1,1,1
00118eda78,18.13840605044699,1,1,1
00119a81c9,13.844673743229134,0,0,1
0011cb84ab,13.351469625175753,0,0,1
00122ba7a6,14.189573087537813,0,0,1
00122c288c,14.58419947439203,0,0,1
0012370d42,14.971639341142687,0,0,1
00123a4be6,29.615826781157963,1,1,1
00123a98a4,14.567110918629416,0,0,1
00124889d7,21.65139724317933,1,1,1
00127ff9a5,14.5164110340689,0,0,1
0012b54664,18.231019505714592,1,1,1
0012cbe5b5,15.97674138285107,1,0,0
0013d88b31,14.383084035377047,0,0,1
0013e2f57c,13.41021095275904,0,0,1
0013f016cc,14.767761196433993,0,0,1
0014080c8a,35.544756987991306,1,1,1
00141585af,13.429629720844694,0,0,1
0014354f2a,13.225765182006544,0,0,1
00143d51a7,14.855331375882583,0,1,0
00146af6e0,15.851060781796876,1,1,1
00146f6441,14.632695792320272,0,0,1
0014724021,13.996680030888657,0,1,0
001486aaca,13.545484185717992,0,0,1
0014a2be82,13.934836888246815,0,0,1
0014b3dccf,16.25639018548548,1,1,1
00158f0c4d,13.88632481087796,0,0,1
0015c1981e,14.90032014862174,0,0,1
0015c81349,16.002640867756142,1,1,1
0015ec5ac3,13.991697116138244,0,0,1
0015f12c38,14.969808436070064,0,0,1
00161459f4,14.415440785287512,0,1,0
00161cdd2b,15.032919369601217,1,1,1
001628f228,13.989836809102378,0,0,1
001632329b,14.15660726835487,0,0,1
001639e102,13.78189582967378,0,0,1
00164d4b5e,13.315620102780263,0,0,1
001667cce1,14.208557500083154,0,0,1
00166a1414,13.872180049733782,0,0,1
0016ad80c7,20.399969121895342,1,1,1
0016aeacb6,14.774731317809096,0,0,1
0016b5cd4c,15.147220462058687,1,1,1
0016ceef8e,16.062994653664244,1,1,1
0016d501f3,14.796958071284166,0,0,1
0016d5221a,16.17233230925383,1,1,1
0016e7a212,13.555517182381084,0,0,1
0016ed801b,14.6560442990195,0,0,1
00172aaca5,23.46916540326199,1,1,1
001744e9c2,14.078267103893458,0,0,1
0017513cef,15.020291030965662,1,0,0
00176141e9,13.64959612190346,0,0,1
00176fd5ad,14.097850754095449,0,1,0
00177334b5,14.292575466031254,0,0,1
0017824b16,13.893847284654996,0,0,1
0017870e6a,14.974701562814367,0,1,0
0017a35bf4,14.56332616435127,0,1,0
0017da893b,14.37443970974504,0,1,0
0017e315e9,14.45524580316778,0,1,0
0017ee018a,16.07328356411855,1,1,1
00180d4da6,20.080185493384203,1,1,1
00180e4450,14.46175819876267,0,1,0
001835e5c1,14.391208125648086,0,0,1
0018663758,14.877721469327536,0,0,1
00189cbf16,15.844181164797014,1,1,1
0018a84716,14.00181031261816,0,1,0
0018c6b1cf,15.283716941827342,1,0,0
